symbol,order_type,lots,status,open_price,close_price,stop_loss,take_profit,magic_number,order_number,open_time,close_time,profit
USDJPY60,1,10,2,119.363,119.37,0,0,1234,1,2007-01-10 07:00:00 +0900,2007-01-10 07:56:00 +0900,0.07
USDJPY60,2,5,2,119.37,119.303,0,0,1235,2,2007-01-10 07:56:00 +0900,2007-01-10 08:31:00 +0900,0.335
USDJPY60,1,10,2,119.303,119.38,0,0,1234,3,2007-01-10 08:31:00 +0900,2007-01-10 09:14:00 +0900,0.77
USDJPY60,2,5,2,119.38,119.373,0,0,1235,4,2007-01-10 09:14:00 +0900,2007-01-10 11:08:00 +0900,0.035
USDJPY60,1,10,2,119.373,119.22,0,0,1234,5,2007-01-10 11:08:00 +0900,2007-01-10 15:22:00 +0900,-1.53
USDJPY60,2,5,2,119.22,119.173,0,0,1235,6,2007-01-10 15:22:00 +0900,2007-01-10 15:29:00 +0900,0.235
USDJPY60,1,10,2,119.173,119.24,0,0,1234,7,2007-01-10 15:29:00 +0900,2007-01-10 15:47:00 +0900,0.67
USDJPY60,2,5,2,119.24,119.203,0,0,1235,8,2007-01-10 15:47:00 +0900,2007-01-10 16:37:00 +0900,0.185
USDJPY60,1,10,2,119.203,119.25,0,0,1234,9,2007-01-10 16:37:00 +0900,2007-01-10 16:44:00 +0900,0.47
USDJPY60,2,5,2,119.25,119.183,0,0,1235,10,2007-01-10 16:44:00 +0900,2007-01-10 17:51:00 +0900,0.335
USDJPY60,1,10,2,119.183,119.24,0,0,1234,11,2007-01-10 17:51:00 +0900,2007-01-10 19:04:00 +0900,0.57
USDJPY60,2,5,2,119.24,119.163,0,0,1235,12,2007-01-10 19:04:00 +0900,2007-01-10 19:11:00 +0900,0.385
USDJPY60,1,10,2,119.163,119.18,0,0,1234,13,2007-01-10 19:11:00 +0900,2007-01-10 20:32:00 +0900,0.17
USDJPY60,2,5,2,119.18,119.173,0,0,1235,14,2007-01-10 20:32:00 +0900,2007-01-10 20:56:00 +0900,0.035
USDJPY60,1,10,2,119.173,119.2,0,0,1234,15,2007-01-10 20:56:00 +0900,2007-01-10 21:08:00 +0900,0.27
USDJPY60,2,5,2,119.2,119.623,0,0,1235,16,2007-01-10 21:08:00 +0900,2007-01-11 01:01:00 +0900,-2.115
USDJPY60,1,10,2,119.623,119.61,0,0,1234,17,2007-01-11 01:01:00 +0900,2007-01-11 02:33:00 +0900,-0.13
USDJPY60,2,5,2,119.61,119.573,0,0,1235,18,2007-01-11 02:33:00 +0900,2007-01-11 02:47:00 +0900,0.185
USDJPY60,1,10,2,119.573,119.58,0,0,1234,19,2007-01-11 02:47:00 +0900,2007-01-11 04:05:00 +0900,0.07
USDJPY60,2,5,2,119.58,119.623,0,0,1235,20,2007-01-11 04:05:00 +0900,2007-01-11 06:47:00 +0900,-0.215
USDJPY60,1,10,2,119.623,119.63,0,0,1234,21,2007-01-11 06:47:00 +0900,2007-01-11 06:51:00 +0900,0.07
USDJPY60,2,5,2,119.63,119.613,0,0,1235,22,2007-01-11 06:51:00 +0900,2007-01-11 07:14:00 +0900,0.085
USDJPY60,1,10,2,119.613,119.63,0,0,1234,23,2007-01-11 07:14:00 +0900,2007-01-11 08:18:00 +0900,0.17
USDJPY60,2,5,2,119.63,119.553,0,0,1235,24,2007-01-11 08:18:00 +0900,2007-01-11 08:36:00 +0900,0.385
USDJPY60,1,10,2,119.553,119.58,0,0,1234,25,2007-01-11 08:36:00 +0900,2007-01-11 09:44:00 +0900,0.27
USDJPY60,2,5,2,119.58,119.593,0,0,1235,26,2007-01-11 09:44:00 +0900,2007-01-11 10:47:00 +0900,-0.065
USDJPY60,1,10,2,119.593,119.6,0,0,1234,27,2007-01-11 10:47:00 +0900,2007-01-11 10:58:00 +0900,0.07
USDJPY60,2,5,2,119.6,119.673,0,0,1235,28,2007-01-11 10:58:00 +0900,2007-01-11 13:37:00 +0900,-0.365
USDJPY60,1,10,2,119.673,119.73,0,0,1234,29,2007-01-11 13:37:00 +0900,2007-01-11 13:54:00 +0900,0.57
USDJPY60,2,5,2,119.73,120.253,0,0,1235,30,2007-01-11 13:54:00 +0900,2007-01-11 18:56:00 +0900,-2.615
USDJPY60,1,10,2,120.253,120.28,0,0,1234,31,2007-01-11 18:56:00 +0900,2007-01-11 19:38:00 +0900,0.27
USDJPY60,2,5,2,120.28,120.223,0,0,1235,32,2007-01-11 19:38:00 +0900,2007-01-11 21:07:00 +0900,0.285
USDJPY60,1,10,2,120.223,120.38,0,0,1234,33,2007-01-11 21:07:00 +0900,2007-01-11 22:41:00 +0900,1.57
USDJPY60,2,5,2,120.38,120.453,0,0,1235,34,2007-01-11 22:41:00 +0900,2007-01-12 01:15:00 +0900,-0.365
USDJPY60,1,10,2,120.453,120.51,0,0,1234,35,2007-01-12 01:15:00 +0900,2007-01-12 01:21:00 +0900,0.57
USDJPY60,2,5,2,120.51,120.443,0,0,1235,36,2007-01-12 01:21:00 +0900,2007-01-12 01:55:00 +0900,0.335
USDJPY60,1,10,2,120.443,120.5,0,0,1234,37,2007-01-12 01:55:00 +0900,2007-01-12 03:10:00 +0900,0.57
USDJPY60,2,5,2,120.5,120.373,0,0,1235,38,2007-01-12 03:10:00 +0900,2007-01-12 03:59:00 +0900,0.635
USDJPY60,1,10,2,120.373,120.44,0,0,1234,39,2007-01-12 03:59:00 +0900,2007-01-12 04:35:00 +0900,0.67
USDJPY60,2,5,2,120.44,120.403,0,0,1235,40,2007-01-12 04:35:00 +0900,2007-01-12 04:40:00 +0900,0.185
USDJPY60,1,10,2,120.403,120.43,0,0,1234,41,2007-01-12 04:40:00 +0900,2007-01-12 05:18:00 +0900,0.27
USDJPY60,2,5,2,120.43,120.413,0,0,1235,42,2007-01-12 05:18:00 +0900,2007-01-12 06:20:00 +0900,0.085
USDJPY60,1,10,2,120.413,120.47,0,0,1234,43,2007-01-12 06:20:00 +0900,2007-01-12 06:46:00 +0900,0.57
USDJPY60,2,5,2,120.47,120.403,0,0,1235,44,2007-01-12 06:46:00 +0900,2007-01-12 07:25:00 +0900,0.335
USDJPY60,1,10,2,120.403,120.44,0,0,1234,45,2007-01-12 07:25:00 +0900,2007-01-12 07:49:00 +0900,0.37
USDJPY60,2,5,2,120.44,120.423,0,0,1235,46,2007-01-12 07:49:00 +0900,2007-01-12 07:54:00 +0900,0.085
USDJPY60,1,10,2,120.423,120.45,0,0,1234,47,2007-01-12 07:54:00 +0900,2007-01-12 09:27:00 +0900,0.27
USDJPY60,2,5,2,120.45,120.633,0,0,1235,48,2007-01-12 09:27:00 +0900,2007-01-12 11:28:00 +0900,-0.915
USDJPY60,1,10,2,120.633,120.63,0,0,1234,49,2007-01-12 11:28:00 +0900,2007-01-12 12:39:00 +0900,-0.03
USDJPY60,2,5,2,120.63,120.563,0,0,1235,50,2007-01-12 12:39:00 +0900,2007-01-12 13:07:00 +0900,0.335
USDJPY60,1,10,2,120.563,120.56,0,0,1234,51,2007-01-12 13:07:00 +0900,2007-01-12 14:38:00 +0900,-0.03
USDJPY60,2,5,2,120.56,120.563,0,0,1235,52,2007-01-12 14:38:00 +0900,2007-01-12 15:47:00 +0900,-0.015
USDJPY60,1,10,2,120.563,120.66,0,0,1234,53,2007-01-12 15:47:00 +0900,2007-01-12 16:10:00 +0900,0.97
USDJPY60,2,5,2,120.66,120.563,0,0,1235,54,2007-01-12 16:10:00 +0900,2007-01-12 16:41:00 +0900,0.485
USDJPY60,1,10,2,120.563,120.4,0,0,1234,55,2007-01-12 16:41:00 +0900,2007-01-12 19:08:00 +0900,-1.63
